course_code,course_name,faculty,credit_hours,instructor,max_capacity,semester,description
COS1511,Introduction to Programming,FEBE,12,Prof. A. Smith,60,1,"Basic programming concepts using Python"
APM1513,Mathematics I,FEBE,12,Dr. B. Johnson,55,1,"Calculus and algebra fundamentals"
PHY1513,Physics Fundamentals,FEBE,12,Prof. C. Williams,50,1,"Basic physics principles"
FAC1502,Financial Accounting,FCBE,12,Prof. D. Brown,70,1,"Introduction to accounting principles"
EKN114,Economics IA,FCBE,12,Dr. E. Davis,65,1,"Microeconomics fundamentals"
INF1511,Visual Programming I,FEBE,12,Prof. F. Wilson,45,1,"GUI programming basics"
MAT1581,Mathematics I (Engineering),FEBE,16,Dr. G. Taylor,40,1,"Engineering mathematics"
MNB1501,Business Management IA,FCBE,12,Prof. H. Anderson,75,1,"Business management principles"
SOC1501,Sociology IA,FHSS,12,Dr. I. Thomas,60,1,"Introduction to sociology"
PLS1501,Introduction to Politics,FHSS,12,Prof. J. Jackson,55,1,"Political science basics"
ENG1511,English for Academic Purposes,FEDU,8,Prof. K. Miller,80,1,"Academic writing skills"
BIO1511,Biology I,FHES,12,Dr. L. Moore,50,1,"Introduction to biology"
CHE1511,Chemistry I,FHES,12,Prof. M. Taylor,50,1,"Basic chemistry principles"
LAW1511,Introduction to Law,FLM,12,Prof. N. Anderson,45,1,"Legal system fundamentals"
NUR1511,Nursing Fundamentals,FNS,16,Prof. O. Wilson,40,1,"Basic nursing principles"
ARC1511,Architectural Design I,FADA,16,Prof. P. Davis,35,1,"Architectural design basics"
ART1511,Art History,FADA,8,Prof. Q. Johnson,40,1,"History of art"
COS2611,Data Structures and Algorithms,FEBE,16,Prof. R. Smith,50,2,"Advanced data structures"
APM2611,Mathematics II,FEBE,12,Dr. S. Williams,55,2,"Advanced calculus"
PHY2611,Electromagnetism,FEBE,12,Prof. T. Brown,45,2,"Electromagnetic theory"
FAC2601,Management Accounting,FCBE,12,Prof. U. Davis,60,2,"Cost accounting principles"
EKN224,Macroeconomics,FCBE,12,Dr. V. Wilson,65,2,"National income analysis"
INF2611,Database Systems,FEBE,12,Prof. W. Taylor,50,2,"Database design and implementation"
MAT2681,Mathematics II (Engineering),FEBE,16,Dr. X. Anderson,40,2,"Differential equations"
MNB2601,Marketing Management,FCBE,12,Prof. Y. Moore,70,2,"Marketing principles"
SOC2601,Social Theory,FHSS,12,Dr. Z. Jackson,55,2,"Sociological theories"
PLS2601,Comparative Politics,FHSS,12,Prof. A. Miller,50,2,"Comparative political systems"
ENG2611,Technical Writing,FEDU,8,Prof. B. Taylor,75,2,"Technical communication"
BIO2611,Genetics,FHES,12,Dr. C. Anderson,45,2,"Principles of genetics"
CHE2611,Organic Chemistry,FHES,12,Prof. D. Wilson,50,2,"Organic chemistry principles"
LAW2611,Contract Law,FLM,12,Prof. E. Davis,40,2,"Law of contracts"
NUR2611,Medical-Surgical Nursing,FNS,16,Prof. F. Johnson,35,2,"Surgical nursing"
ARC2611,Architectural Theory,FADA,12,Prof. G. Smith,30,2,"Architectural theories"
ART2611,Drawing and Painting,FADA,12,Prof. H. Williams,25,2,"Art techniques"
